,fluorescence,wavelength (nm),Well
423,147.0,600.0,D5
424,420995.0,340.0,E5
425,364986.0,345.0,E5
426,328169.0,350.0,E5
427,289148.0,355.0,E5
428,261559.0,360.0,E5
429,234997.0,365.0,E5
430,22946.0,370.0,E5
431,18358.0,375.0,E5
432,16408.0,380.0,E5
433,13922.0,385.0,E5
434,11389.0,390.0,E5
435,9798.0,395.0,E5
436,8661.0,400.0,E5
437,6942.0,405.0,E5
438,6314.0,410.0,E5
439,5651.0,415.0,E5
440,4946.0,420.0,E5
441,4370.0,425.0,E5
442,3850.0,430.0,E5
443,3399.0,435.0,E5
444,2980.0,440.0,E5
445,2624.0,445.0,E5
446,2268.0,450.0,E5
447,1972.0,455.0,E5
448,1729.0,460.0,E5
449,1537.0,465.0,E5
450,1394.0,470.0,E5
451,1268.0,475.0,E5
452,1155.0,480.0,E5
453,1028.0,485.0,E5
454,938.0,490.0,E5
455,849.0,495.0,E5
456,764.0,500.0,E5
457,678.0,505.0,E5
458,613.0,510.0,E5
459,561.0,515.0,E5
460,510.0,520.0,E5
461,464.0,525.0,E5
462,423.0,530.0,E5
463,392.0,535.0,E5
464,356.0,540.0,E5
465,337.0,545.0,E5
466,303.0,550.0,E5
467,283.0,555.0,E5
468,264.0,560.0,E5
469,238.0,565.0,E5
470,225.0,570.0,E5
471,206.0,575.0,E5
472,196.0,580.0,E5
473,183.0,585.0,E5
474,169.0,590.0,E5
475,157.0,595.0,E5
476,150.0,600.0,E5
477,420405.0,340.0,E6
478,365069.0,345.0,E6
479,324741.0,350.0,E6
480,289932.0,355.0,E6
481,262410.0,360.0,E6
482,235021.0,365.0,E6
483,24220.0,370.0,E6
484,19786.0,375.0,E6
485,17830.0,380.0,E6
486,15014.0,385.0,E6
487,12471.0,390.0,E6
488,10695.0,395.0,E6
489,9472.0,400.0,E6
490,7502.0,405.0,E6
491,6843.0,410.0,E6
492,6123.0,415.0,E6
493,5365.0,420.0,E6
494,4661.0,425.0,E6
495,4090.0,430.0,E6
496,3592.0,435.0,E6
497,3142.0,440.0,E6
498,2745.0,445.0,E6
499,2406.0,450.0,E6
500,2048.0,455.0,E6
501,1801.0,460.0,E6
502,1596.0,465.0,E6
503,1440.0,470.0,E6
504,1321.0,475.0,E6
505,1189.0,480.0,E6
506,1091.0,485.0,E6
507,973.0,490.0,E6
508,886.0,495.0,E6
509,802.0,500.0,E6
510,712.0,505.0,E6
511,652.0,510.0,E6
512,588.0,515.0,E6
513,536.0,520.0,E6
514,499.0,525.0,E6
